시청률,월,일,시,분
0.0007,1,1,2,0
0.0,1,1,2,20
0.0,1,1,2,40
0.0,1,1,3,0
0.0,1,1,3,20
0.01115,1,1,3,40
0.011000000000000001,1,1,4,0
0.01115,1,1,4,20
0.011000000000000001,1,1,4,40
0.011000000000000001,1,1,5,0
0.011000000000000001,1,1,5,20
0.00055,1,1,5,40
0.0,1,1,6,0
0.0,1,1,6,20
0.0,1,1,6,40
0.0,1,1,7,0
0.0,1,1,7,20
0.0,1,1,7,40
0.0,1,1,8,0
0.0,1,1,8,20
0.00175,1,1,8,40
0.0,1,1,9,0
0.00055,1,1,9,20
0.00015,1,1,9,40
0.00055,1,1,10,0
0.00415,1,1,10,20
0.00615,1,1,10,40
0.0,1,1,11,0
0.0,1,1,11,20
0.0006,1,1,11,40
0.0075,1,1,12,0
0.01,1,1,12,20
0.01,1,1,12,40
0.01,1,1,13,0
0.01,1,1,13,20
0.01,1,1,13,40
0.00885,1,1,14,0
0.0,1,1,14,20
0.00505,1,1,14,40
0.0084,1,1,15,0
0.0129,1,1,15,20
0.012,1,1,15,40
0.0076,1,1,16,0
0.0005,1,1,16,20
0.00305,1,1,16,40
0.0007,1,1,17,0
0.00085,1,1,17,20
0.0,1,1,17,40
0.0,1,1,18,0
0.0135,1,1,18,20
0.02015,1,1,18,40
0.0021,1,1,19,0
0.0021,1,1,19,20
0.0,1,1,19,40
0.0,1,1,20,0
0.00035,1,1,20,20
0.001,1,1,20,40
0.0,1,1,21,0
0.0007,1,1,21,20
0.0066,1,1,21,40
0.0012,1,1,22,0
0.003,1,1,22,20
0.0059,1,1,22,40
0.00095,1,1,23,0
0.0006,1,1,23,20
0.0,1,1,23,40
0.0,1,1,0,0
0.0036,1,1,0,20
0.0024,1,1,0,40
0.0017,1,1,1,0
0.0,1,1,1,20
0.0003,1,1,1,40
0.0,1,2,2,20
0.0,1,2,2,40
0.0,1,2,3,0
0.0,1,2,3,20
0.00075,1,2,3,40
0.00165,1,2,4,0
0.0,1,2,4,20
0.0,1,2,4,40
0.0,1,2,5,0
0.0,1,2,5,20
0.0,1,2,5,40
0.0006,1,2,6,0
0.00015,1,2,6,20
0.0011,1,2,6,40
0.0,1,2,7,0
0.0,1,2,7,20
0.0,1,2,7,40
0.0013,1,2,8,0
0.0219,1,2,8,20
0.00615,1,2,8,40
0.0,1,2,9,0
0.0,1,2,9,20
0.006,1,2,9,40
0.00425,1,2,10,0
0.01745,1,2,10,20
0.00595,1,2,10,40
0.0,1,2,11,0
0.03715,1,2,11,20
0.01925,1,2,11,40
0.0022,1,2,12,0
