朝楼,矫埃,矫没伏
1岿1老,2:00,0.0007
1岿1老,2:20,0
1岿1老,2:40,0
1岿1老,3:00,0
1岿1老,3:20,0
1岿1老,3:40,0.01115
1岿1老,4:00,0.011
1岿1老,4:20,0.01115
1岿1老,4:40,0.011
1岿1老,5:00,0.011
1岿1老,5:20,0.011
1岿1老,5:40,0.00055
1岿1老,6:00,0
1岿1老,6:20,0
1岿1老,6:40,0
1岿1老,7:00,0
1岿1老,7:20,0
1岿1老,7:40,0
1岿1老,8:00,0
1岿1老,8:20,0
1岿1老,8:40,0.00175
1岿1老,9:00,0
1岿1老,9:20,0.00055
1岿1老,9:40,0.00015
1岿1老,10:00,0.00055
1岿1老,10:20,0.00415
1岿1老,10:40,0.00615
1岿1老,11:00,0
1岿1老,11:20,0
1岿1老,11:40,0.0006
1岿1老,12:00,0.0075
1岿1老,12:20,0.01
1岿1老,12:40,0.01
1岿1老,13:00,0.01
1岿1老,13:20,0.01
1岿1老,13:40,0.01
1岿1老,14:00,0.00885
1岿1老,14:20,0
1岿1老,14:40,0.00505
1岿1老,15:00,0.0084
1岿1老,15:20,0.0129
1岿1老,15:40,0.012
1岿1老,16:00,0.0076
1岿1老,16:20,0.0005
1岿1老,16:40,0.00305
1岿1老,17:00,0.0007
1岿1老,17:20,0.00085
1岿1老,17:40,0
1岿1老,18:00,0
1岿1老,18:20,0.0135
1岿1老,18:40,0.02015
1岿1老,19:00,0.0021
1岿1老,19:20,0.0021
1岿1老,19:40,0
1岿1老,20:00,0
1岿1老,20:20,0.00035
1岿1老,20:40,0.001
1岿1老,21:00,0
1岿1老,21:20,0.0007
1岿1老,21:40,0.0066
1岿1老,22:00,0.0012
1岿1老,22:20,0.003
1岿1老,22:40,0.0059
1岿1老,23:00,0.00095
1岿1老,23:20,0.0006
1岿1老,23:40,0
1岿1老,0:00,0
1岿1老,0:20,0.0036
1岿1老,0:40,0.0024
1岿1老,1:00,0.0017
1岿1老,1:20,0
1岿1老,1:40,0.0003
1岿2老,2:20,0
1岿2老,2:40,0
1岿2老,3:00,0
1岿2老,3:20,0
1岿2老,3:40,0.00075
1岿2老,4:00,0.00165
1岿2老,4:20,0
1岿2老,4:40,0
1岿2老,5:00,0
1岿2老,5:20,0
1岿2老,5:40,0
1岿2老,6:00,0.0006
1岿2老,6:20,0.00015
1岿2老,6:40,0.0011
1岿2老,7:00,0
1岿2老,7:20,0
1岿2老,7:40,0
1岿2老,8:00,0.0013
1岿2老,8:20,0.0219
1岿2老,8:40,0.00615
1岿2老,9:00,0
1岿2老,9:20,0
1岿2老,9:40,0.006
1岿2老,10:00,0.00425
1岿2老,10:20,0.01745
1岿2老,10:40,0.00595
1岿2老,11:00,0
1岿2老,11:20,0.03715
1岿2老,11:40,0.01925
1岿2老,12:00,0.0022
1岿2老,12:20,0.00955
1岿2老,12:40,0.0089
1岿2老,13:00,0.002
1岿2老,13:20,0.0033
1岿2老,13:40,0.03645
1岿2老,14:00,0.0187
1岿2老,14:20,0.0015
1岿2老,14:40,0
1岿2老,15:00,0.02845
1岿2老,15:20,0.0054
1岿2老,15:40,0.0026
1岿2老,16:00,0.00525
1岿2老,16:20,0.00035
1岿2老,16:40,0.00055
1岿2老,17:00,0.0049
1岿2老,17:20,0.00105
1岿2老,17:40,0.00035
1岿2老,18:00,0.0009
1岿2老,18:20,0.00895
1岿2老,18:40,0.04015
1岿2老,19:00,0
1岿2老,19:20,0.00115
1岿2老,19:40,0.00635
1岿2老,20:00,0.00045
1岿2老,20:20,0
1岿2老,20:40,0.0018
1岿2老,21:00,0.00375
1岿2老,21:20,0
1岿2老,21:40,0
1岿2老,22:00,0
1岿2老,22:20,0.00145
1岿2老,22:40,0.01415
1岿2老,23:00,0.02745
1岿2老,23:20,0.0167
1岿2老,23:40,0.0066
1岿2老,0:00,0.0059
1岿2老,0:20,0.00705
1岿2老,0:40,0.0007
1岿2老,1:00,0.00195
1岿2老,1:20,0
1岿2老,1:40,0
1岿2老,2:00,0
1岿3老,2:20,0
1岿3老,2:40,0.00065
1岿3老,3:00,0
1岿3老,3:20,0
1岿3老,3:40,0.0033
1岿3老,4:00,0
1岿3老,4:20,0
1岿3老,4:40,0.0043
1岿3老,5:00,0.015
1岿3老,5:20,0.0015
1岿3老,5:40,0.00075
1岿3老,6:00,0.0024
1岿3老,6:20,0.00045
1岿3老,6:40,0
1岿3老,7:00,0.00465
1岿3老,7:20,0
1岿3老,7:40,0.0026
1岿3老,8:00,0.0023
1岿3老,8:20,0.0015
1岿3老,8:40,0
1岿3老,9:00,0.00165
1岿3老,9:20,0.00035
1岿3老,9:40,0.0012
1岿3老,10:00,0.0005
1岿3老,10:20,0
1岿3老,10:40,0.0065
1岿3老,11:00,0.0068
1岿3老,11:20,0.0048
1岿3老,11:40,0.0105
1岿3老,12:00,0
1岿3老,12:20,0.00075
1岿3老,12:40,0
1岿3老,13:00,0.00035
1岿3老,13:20,0
1岿3老,13:40,0.00025
1岿3老,14:00,0.00115
1岿3老,14:20,0.00375
1岿3老,14:40,0.0007
1岿3老,15:00,0
1岿3老,15:20,0
1岿3老,15:40,0
1岿3老,16:00,0
1岿3老,16:20,0.0006
1岿3老,16:40,0.0114
1岿3老,17:00,0.0027
1岿3老,17:20,0.0041
1岿3老,17:40,0
1岿3老,18:00,0.00065
1岿3老,18:20,0.0039
1岿3老,18:40,0.0021
1岿3老,19:00,0
1岿3老,19:20,0
1岿3老,19:40,0.0034
1岿3老,20:00,0.00155
1岿3老,20:20,0.0013
1岿3老,20:40,0.0007
1岿3老,21:00,0.0004
1岿3老,21:20,0
1岿3老,21:40,0
1岿3老,22:00,0
1岿3老,22:20,0
1岿3老,22:40,0.0028
1岿3老,23:00,0.00725
1岿3老,23:20,0.00145
1岿3老,23:40,0
1岿3老,0:00,0
1岿3老,0:20,0
1岿3老,0:40,0.00075
1岿3老,1:00,0.0002
1岿3老,1:20,0
1岿3老,1:40,0
1岿3老,2:00,0.0007
1岿4老,2:20,0
1岿4老,2:40,0.00205
1岿4老,3:00,0.0028
1岿4老,3:20,0
1岿4老,3:40,0
1岿4老,4:00,0
1岿4老,4:20,0
1岿4老,4:40,0
1岿4老,5:00,0
1岿4老,5:20,0
1岿4老,5:40,0
1岿4老,6:00,0
1岿4老,6:20,0
1岿4老,6:40,0.0002
1岿4老,7:00,0
1岿4老,7:20,0
1岿4老,7:40,0
1岿4老,8:00,0
1岿4老,8:20,0
1岿4老,8:40,0.0106
1岿4老,9:00,0.0182
1岿4老,9:20,0
1岿4老,9:40,0
1岿4老,10:00,0
1岿4老,10:20,0.00055
1岿4老,10:40,0
1岿4老,11:00,0.0008
1岿4老,11:20,0.0035
1岿4老,11:40,0.00825
1岿4老,12:00,0.01035
1岿4老,12:20,0.0102
1岿4老,12:40,0
1岿4老,13:00,0.00055
1岿4老,13:20,0.0009
1岿4老,13:40,0.01035
1岿4老,14:00,0.00175
1岿4老,14:20,0
1岿4老,14:40,0.0006
1岿4老,15:00,0
1岿4老,15:20,0.0117
1岿4老,15:40,0.00305
1岿4老,16:00,0.0025
